Year,Overall Attendance,Average England Rainfall April-October (mm),Average England Max Temperature April-October (degrees C),Average England Hours of Bright Sunshine April-October,Annual UK GDP Growth (%),Annual UK CPI Inflation (%),Annual UK Unemployment Rate (%)
01/01/1997,7156250,62.6,17.6,176.3,4.5,1.8,7.1
01/01/1998,6906250,85.7,16.7,148.8,3.2,1.6,6.2
01/01/1999,6656250,73.2,17.8,168.6,3,1.3,6
01/01/2000,6625000,94.6,16.9,150.4,4.1,0.8,5.6
01/01/2001,6437500,73.9,17.4,164.2,2.2,1.2,4.7
01/01/2002,6968750,70.5,17.2,158.8,1.8,1.3,5
01/01/2003,6843750,48.8,18.3,184.5,3.1,1.4,4.8
01/01/2004,6211750,82.1,17.6,162.3,2.4,1.3,4.6
01/01/2005,6343750,65.2,17.9,167.2,2.7,2.1,4.8
01/01/2006,6687500,68,18.8,178.6,2.2,2.3,5.4
01/01/2007,6562500,75.9,17.6,167.2,2.6,2.3,5.3
01/01/2008,7562500,83.2,17,155.6,-0.2,3.6,5.6
01/01/2009,8031250,62.1,17.8,169.1,-4.5,2.2,7.5
01/01/2010,8593750,57.2,17.5,171.2,2.4,3.3,7.8
01/01/2011,8218750,54.9,18.1,172.3,1.1,4.5,8
01/01/2012,7687500,105.3,16.3,145.3,1.5,2.8,7.9
01/01/2013,8223750,63.1,17.5,172.5,1.8,2.6,7.5
01/01/2014,8031250,67.4,18.2,168.6,3.2,1.5,6.1
01/01/2015,7281250,60.5,17.2,175.4,2.4,0,5.3
01/01/2016,7000000,58.9,17.7,164.8,2.2,0.7,4.8
01/01/2017,7250000,66.5,17.8,161.6,2.4,2.7,4.3
01/01/2018,7500000,52.1,18.8,191.8,1.7,2.5,4
01/01/2019,7718750,82.9,17.7,172,1.6,1.8,3.7
